,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
0,-1.04e-06,-2.14e-07,-4.23e-07,0.16011958912386715,0.1622571181657848,0.04365023412698421,0.0,0.0,0.0
1,-3.86e-06,-2.22e-07,-9.76e-07,0.16011618126888227,0.16225710405643756,0.0436495026455026,0.0,0.0,0.0
2,-8.57e-06,-4.85e-07,-2.06e-06,0.16011048942598194,0.16225664021164032,0.043648068783068705,0.0,0.0,0.0
3,-1.57e-05,-6.36e-07,-3.36e-06,0.1601018731117827,0.16225637389770742,0.043646349206349244,0.0,0.0,0.0
4,-1.93e-05,3.58e-07,-2.89e-06,0.16009752265861033,0.162258126984127,0.043646970899470894,0.0,0.0,0.0
5,-6.91e-06,2.27e-06,1.89e-06,0.160112495468278,0.1622614991181659,0.04365329365079362,0.0,0.0,0.0
6,4.85e-05,7.15e-06,1.74e-05,0.1601794561933536,0.16227010582010593,0.04367380952380939,0.0,0.0,0.0
7,0.000186,1.54e-05,5.1e-05,0.16034561933534763,0.16228465608465625,0.04371825396825413,0.0,0.0,0.0
8,0.000457,2.72e-05,0.000111,0.16067311178247756,0.16230546737213425,0.04379761904761903,0.0,0.0,0.0
9,0.000913,4.28e-05,0.000206,0.16122416918429017,0.1623329805996474,0.04392328042328053,0.0,0.0,0.0
10,0.0016,5.98e-05,0.000341,0.1620543806646526,0.16236296296296326,0.04410185185185189,0.0,0.0,0.0
11,0.00252,7.63e-05,0.000513,0.16316616314199406,0.1623920634920637,0.044329365079365024,0.0,0.0,0.0
12,0.00365,8.99e-05,0.000717,0.1645317220543807,0.16241604938271625,0.044599206349206444,0.0,0.0,0.0
13,0.00494,9.84e-05,0.000936,0.16609063444108774,0.16243104056437407,0.04488888888888898,0.0,0.0,0.0
14,0.00626,0.000102,0.00115,0.16768580060422966,0.16243738977072342,0.045171957671957585,0.0,0.0,0.0
15,0.00749,0.000102,0.00135,0.16917220543806666,0.16243738977072342,0.045436507936508,0.0,0.0,0.0
16,0.0085,0.000104,0.00152,0.17039274924471304,0.16244091710758402,0.045661375661375736,0.0,0.0,0.0
17,0.00921,0.000113,0.00164,0.17125075528700928,0.16245679012345704,0.04582010582010576,0.0,0.0,0.0
18,0.00956,0.000136,0.00171,0.1716737160120847,0.1624973544973547,0.045912698412698516,0.0,0.0,0.0
19,0.00957,0.00018,0.00176,0.17168580060422967,0.1625749559082894,0.04597883597883601,0.0,0.0,0.0
20,0.00929,0.000247,0.00178,0.17134743202416924,0.16269312169312178,0.04600529100529105,0.0,0.0,0.0
21,0.00881,0.000338,0.00179,0.17076737160120858,0.1628536155202822,0.04601851851851846,0.0,0.0,0.0
22,0.00823,0.000449,0.0018,0.17006646525679758,0.16304938271604952,0.04603174603174609,0.0,0.0,0.0
23,0.00767,0.000573,0.00182,0.16938972809667674,0.16326807760141127,0.04605820105820113,0.0,0.0,0.0
24,0.0072,0.000703,0.00185,0.16882175226586105,0.16349735449735459,0.04609788359788358,0.0,0.0,0.0
25,0.00689,0.000829,0.00189,0.1684471299093655,0.16371957671957693,0.046150793650793664,0.0,0.0,0.0
26,0.00679,0.000944,0.00194,0.16832628398791538,0.1639223985890652,0.04621693121693138,0.0,0.0,0.0
27,0.00692,0.00104,0.00198,0.16848338368580085,0.1640917107583777,0.04626984126984124,0.0,0.0,0.0
28,0.00728,0.00112,0.00202,0.16891842900302123,0.1642328042328045,0.04632275132275132,0.0,0.0,0.0
29,0.00783,0.00118,0.00205,0.1695830815709971,0.16433862433862445,0.046362433862433994,0.0,0.0,0.0
30,0.00853,0.00121,0.00206,0.17042900302114816,0.16439153439153453,0.0463756613756614,0.0,0.0,0.0
31,0.00929,0.00121,0.00205,0.17134743202416924,0.16439153439153453,0.046362433862433994,0.0,0.0,0.0
32,0.01,0.00119,0.00202,0.17220543806646527,0.16435626102292789,0.04632275132275132,0.0,0.0,0.0
33,0.0107,0.00113,0.00196,0.17305135951661654,0.16425044091710772,0.0462433862433862,0.0,0.0,0.0
34,0.0111,0.00106,0.00188,0.17353474320241702,0.16412698412698412,0.046137566137566255,0.0,0.0,0.0
35,0.0114,0.000964,0.00177,0.17389728096676738,0.16395767195767208,0.04599206349206364,0.0,0.0,0.0
36,0.0115,0.000864,0.00164,0.1740181268882175,0.16378130511463862,0.04582010582010576,0.0,0.0,0.0
37,0.0115,0.000765,0.00148,0.1740181268882175,0.16360670194003557,0.045608465608465654,0.0,0.0,0.0
38,0.0113,0.000672,0.00132,0.17377643504531726,0.16344268077601432,0.045396825396825324,0.0,0.0,0.0
39,0.0112,0.000587,0.00114,0.17365558912386714,0.1632927689594359,0.045158730158730176,0.0,0.0,0.0
40,0.011,0.000508,0.000951,0.1734138972809669,0.16315343915343927,0.044908730158730314,0.0,0.0,0.0
41,0.0108,0.000429,0.000759,0.17317220543806666,0.16301410934744287,0.04465476190476192,0.0,0.0,0.0
42,0.0107,0.000343,0.000563,0.17305135951661654,0.16286243386243404,0.04439550264550274,0.0,0.0,0.0
43,0.0105,0.00024,0.000361,0.17280966767371608,0.16268077601410957,0.04412830687830693,0.0,0.0,0.0
44,0.0103,0.000119,0.000156,0.17256797583081585,0.16246737213403883,0.04385714285714304,0.0,0.0,0.0
45,0.0101,-2.11e-05,-5.13e-05,0.1723262839879156,0.16222028218694895,0.04358293650793654,0.0,0.0,0.0
46,0.00989,-0.000175,-0.00026,0.17207250755287018,0.16194885361552047,0.043306878306878405,0.0,0.0,0.0
47,0.0096,-0.000334,-0.000467,0.1717220543806648,0.16166843033509726,0.043033068783068895,0.0,0.0,0.0
48,0.00928,-0.000489,-0.000673,0.17133534743202428,0.16139506172839524,0.04276058201058208,0.0,0.0,0.0
49,0.00893,-0.00063,-0.000872,0.17091238670694864,0.16114638447971785,0.04249735449735459,0.0,0.0,0.0
50,0.00857,-0.000754,-0.00106,0.17047734138972825,0.16092768959435633,0.042248677248677424,0.0,0.0,0.0
51,0.00823,-0.000856,-0.00124,0.17006646525679758,0.16074779541446227,0.042010582010582054,0.0,0.0,0.0
52,0.00794,-0.000938,-0.00141,0.1697160120845922,0.16060317460317486,0.041785714285714315,0.0,0.0,0.0
53,0.00772,-0.001,-0.00156,0.1694501510574018,0.16049382716049387,0.04158730158730162,0.0,0.0,0.0
54,0.00758,-0.00105,-0.00168,0.1692809667673718,0.16040564373897714,0.04142857142857137,0.0,0.0,0.0
55,0.00754,-0.00109,-0.00179,0.16923262839879172,0.16033509700176385,0.04128306878306898,0.0,0.0,0.0
56,0.00758,-0.00112,-0.00187,0.1692809667673718,0.16028218694885377,0.04117724867724859,0.0,0.0,0.0
57,0.00768,-0.00114,-0.00194,0.16940181268882193,0.16024691358024712,0.04108465608465606,0.0,0.0,0.0
58,0.0078,-0.00115,-0.00199,0.16954682779456198,0.16022927689594368,0.041018518518518565,0.0,0.0,0.0
59,0.00791,-0.00115,-0.00204,0.16967975830815707,0.16022927689594368,0.04095238095238085,0.0,0.0,0.0
60,0.00796,-0.00114,-0.00208,0.16974018126888213,0.16024691358024712,0.04089947089947099,0.0,0.0,0.0
